date,activity_level,Latitude,Longitude
Mar-03-2012,10,32.806671,-86.79113000000001
Mar-10-2012,10,32.806671,-86.79113000000001
Mar-17-2012,10,32.806671,-86.79113000000001
Feb-25-2012,10,32.806671,-86.79113000000001
Feb-18-2012,10,32.806671,-86.79113000000001
Feb-11-2012,10,32.806671,-86.79113000000001
Dec-08-2012,10,32.806671,-86.79113000000001
Dec-01-2012,10,32.806671,-86.79113000000001
Nov-24-2012,10,32.806671,-86.79113000000001
Dec-15-2012,10,32.806671,-86.79113000000001
Dec-22-2012,10,32.806671,-86.79113000000001
Dec-29-2012,10,32.806671,-86.79113000000001
Jan-05-2013,10,32.806671,-86.79113000000001
Jan-12-2013,10,32.806671,-86.79113000000001
Jan-19-2013,10,32.806671,-86.79113000000001
Dec-07-2013,10,32.806671,-86.79113000000001
Dec-14-2013,10,32.806671,-86.79113000000001
Dec-28-2013,10,32.806671,-86.79113000000001
Dec-21-2013,10,32.806671,-86.79113000000001
Jan-04-2014,10,32.806671,-86.79113000000001
Jan-11-2014,10,32.806671,-86.79113000000001
Jun-21-2014,0,61.370716,-152.404419
Jun-28-2014,0,61.370716,-152.404419
Jul-05-2014,0,61.370716,-152.404419
Jul-12-2014,0,61.370716,-152.404419
Jul-19-2014,0,61.370716,-152.404419
Jul-26-2014,0,61.370716,-152.404419
Aug-02-2014,0,61.370716,-152.404419
Aug-09-2014,0,61.370716,-152.404419
Aug-16-2014,0,61.370716,-152.404419
Aug-23-2014,0,61.370716,-152.404419
Aug-30-2014,0,61.370716,-152.404419
Sep-06-2014,0,61.370716,-152.404419
Sep-13-2014,0,61.370716,-152.404419
Sep-20-2014,0,61.370716,-152.404419
Sep-27-2014,0,61.370716,-152.404419
Oct-01-2016,1,61.370716,-152.404419
Sep-24-2016,1,61.370716,-152.404419
Sep-17-2016,1,61.370716,-152.404419
Sep-10-2016,1,61.370716,-152.404419
Sep-03-2016,1,61.370716,-152.404419
Aug-27-2016,1,61.370716,-152.404419
Aug-20-2016,1,61.370716,-152.404419
Aug-13-2016,1,61.370716,-152.404419
Aug-06-2016,1,61.370716,-152.404419
Jul-30-2016,1,61.370716,-152.404419
Jul-23-2016,1,61.370716,-152.404419
Jul-16-2016,1,61.370716,-152.404419
Jul-09-2016,1,61.370716,-152.404419
Jul-02-2016,1,61.370716,-152.404419
Jun-25-2016,1,61.370716,-152.404419
Jun-18-2016,1,61.370716,-152.404419
Jun-11-2016,1,61.370716,-152.404419
Jun-04-2016,1,61.370716,-152.404419
May-28-2016,1,61.370716,-152.404419
May-14-2016,1,61.370716,-152.404419
May-07-2016,1,61.370716,-152.404419
Apr-30-2016,1,61.370716,-152.404419
Mar-05-2016,1,61.370716,-152.404419
Feb-27-2016,1,61.370716,-152.404419
Feb-20-2016,1,61.370716,-152.404419
Feb-13-2016,1,61.370716,-152.404419
Feb-06-2016,1,61.370716,-152.404419
Jan-30-2016,1,61.370716,-152.404419
Jan-23-2016,1,61.370716,-152.404419
Jan-16-2016,1,61.370716,-152.404419
Jan-09-2016,1,61.370716,-152.404419
Jan-02-2016,1,61.370716,-152.404419
Dec-26-2015,1,61.370716,-152.404419
Dec-19-2015,1,61.370716,-152.404419
Dec-12-2015,1,61.370716,-152.404419
Dec-05-2015,1,61.370716,-152.404419
Nov-28-2015,1,61.370716,-152.404419
Nov-21-2015,1,61.370716,-152.404419
Nov-14-2015,1,61.370716,-152.404419
Nov-07-2015,1,61.370716,-152.404419
Oct-31-2015,1,61.370716,-152.404419
Oct-24-2015,1,61.370716,-152.404419
Oct-17-2015,1,61.370716,-152.404419
Oct-10-2015,1,61.370716,-152.404419
Oct-03-2015,1,61.370716,-152.404419
Sep-26-2015,1,61.370716,-152.404419
Sep-19-2015,1,61.370716,-152.404419
Sep-05-2015,1,61.370716,-152.404419
Aug-29-2015,1,61.370716,-152.404419
Aug-22-2015,1,61.370716,-152.404419
Aug-15-2015,1,61.370716,-152.404419
Aug-08-2015,1,61.370716,-152.404419
Aug-01-2015,1,61.370716,-152.404419
Jul-25-2015,1,61.370716,-152.404419
Jul-18-2015,1,61.370716,-152.404419
Jun-13-2015,1,61.370716,-152.404419
Jun-06-2015,1,61.370716,-152.404419
May-30-2015,1,61.370716,-152.404419
May-23-2015,1,61.370716,-152.404419
May-16-2015,1,61.370716,-152.404419
May-09-2015,1,61.370716,-152.404419
May-02-2015,1,61.370716,-152.404419
Apr-25-2015,1,61.370716,-152.404419
Apr-18-2015,1,61.370716,-152.404419
Apr-11-2015,1,61.370716,-152.404419
Apr-04-2015,1,61.370716,-152.404419
Mar-28-2015,1,61.370716,-152.404419
Mar-21-2015,1,61.370716,-152.404419
Mar-14-2015,1,61.370716,-152.404419
Mar-07-2015,1,61.370716,-152.404419
Feb-28-2015,1,61.370716,-152.404419
Feb-21-2015,1,61.370716,-152.404419
Feb-14-2015,1,61.370716,-152.404419
Feb-07-2015,1,61.370716,-152.404419
Jan-31-2015,1,61.370716,-152.404419
Jan-17-2015,1,61.370716,-152.404419
Jan-10-2015,1,61.370716,-152.404419
Dec-13-2014,1,61.370716,-152.404419
Oct-18-2014,1,61.370716,-152.404419
Oct-25-2014,1,61.370716,-152.404419
Oct-11-2014,1,61.370716,-152.404419
Oct-04-2014,1,61.370716,-152.404419
Jun-14-2014,1,61.370716,-152.404419
May-31-2014,1,61.370716,-152.404419
May-24-2014,1,61.370716,-152.404419
May-17-2014,1,61.370716,-152.404419
May-10-2014,1,61.370716,-152.404419
May-03-2014,1,61.370716,-152.404419
Apr-26-2014,1,61.370716,-152.404419
Apr-19-2014,1,61.370716,-152.404419
Apr-12-2014,1,61.370716,-152.404419
Apr-05-2014,1,61.370716,-152.404419
Mar-29-2014,1,61.370716,-152.404419
Mar-22-2014,1,61.370716,-152.404419
Mar-15-2014,1,61.370716,-152.404419
Mar-08-2014,1,61.370716,-152.404419
Mar-01-2014,1,61.370716,-152.404419
Feb-22-2014,1,61.370716,-152.404419
Dec-07-2013,1,61.370716,-152.404419
Nov-30-2013,1,61.370716,-152.404419
Nov-23-2013,1,61.370716,-152.404419
Nov-16-2013,1,61.370716,-152.404419
Nov-09-2013,1,61.370716,-152.404419
Nov-02-2013,1,61.370716,-152.404419
Oct-26-2013,1,61.370716,-152.404419
Oct-19-2013,1,61.370716,-152.404419
Oct-12-2013,1,61.370716,-152.404419
Oct-05-2013,1,61.370716,-152.404419
Sep-28-2013,1,61.370716,-152.404419
Sep-21-2013,1,61.370716,-152.404419
Sep-14-2013,1,61.370716,-152.404419
Sep-07-2013,1,61.370716,-152.404419
Aug-31-2013,1,61.370716,-152.404419
Aug-24-2013,1,61.370716,-152.404419
Aug-17-2013,1,61.370716,-152.404419
Aug-10-2013,1,61.370716,-152.404419
Aug-03-2013,1,61.370716,-152.404419
Jul-27-2013,1,61.370716,-152.404419
Jul-20-2013,1,61.370716,-152.404419
Jul-13-2013,1,61.370716,-152.404419
Jul-06-2013,1,61.370716,-152.404419
Jun-29-2013,1,61.370716,-152.404419
Jun-22-2013,1,61.370716,-152.404419
Jun-15-2013,1,61.370716,-152.404419
Jun-08-2013,1,61.370716,-152.404419
Jun-01-2013,1,61.370716,-152.404419
May-25-2013,1,61.370716,-152.404419
May-18-2013,1,61.370716,-152.404419
May-11-2013,1,61.370716,-152.404419
Apr-27-2013,1,61.370716,-152.404419
May-04-2013,1,61.370716,-152.404419
Apr-13-2013,1,61.370716,-152.404419
Apr-06-2013,1,61.370716,-152.404419
Apr-20-2013,1,61.370716,-152.404419
Mar-30-2013,1,61.370716,-152.404419
Mar-23-2013,1,61.370716,-152.404419
Mar-16-2013,1,61.370716,-152.404419
Mar-09-2013,1,61.370716,-152.404419
Mar-02-2013,1,61.370716,-152.404419
Feb-23-2013,1,61.370716,-152.404419
Feb-16-2013,1,61.370716,-152.404419
Jan-26-2013,1,61.370716,-152.404419
Nov-17-2012,1,61.370716,-152.404419
Oct-27-2012,1,61.370716,-152.404419
Oct-20-2012,1,61.370716,-152.404419
Oct-13-2012,1,61.370716,-152.404419
Oct-06-2012,1,61.370716,-152.404419
Sep-29-2012,1,61.370716,-152.404419
Sep-22-2012,1,61.370716,-152.404419
Sep-15-2012,1,61.370716,-152.404419
Sep-08-2012,1,61.370716,-152.404419
Sep-01-2012,1,61.370716,-152.404419
Aug-25-2012,1,61.370716,-152.404419
Aug-18-2012,1,61.370716,-152.404419
Aug-11-2012,1,61.370716,-152.404419
Aug-04-2012,1,61.370716,-152.404419
Jul-28-2012,1,61.370716,-152.404419
Jul-21-2012,1,61.370716,-152.404419
Jul-14-2012,1,61.370716,-152.404419
Jul-07-2012,1,61.370716,-152.404419
Jun-30-2012,1,61.370716,-152.404419
Jun-23-2012,1,61.370716,-152.404419
Jun-16-2012,1,61.370716,-152.404419
Jun-09-2012,1,61.370716,-152.404419
Jun-02-2012,1,61.370716,-152.404419
May-26-2012,1,61.370716,-152.404419
May-19-2012,1,61.370716,-152.404419
Mar-31-2012,1,61.370716,-152.404419
Mar-24-2012,1,61.370716,-152.404419
Mar-03-2012,1,61.370716,-152.404419
Mar-10-2012,1,61.370716,-152.404419
Feb-25-2012,1,61.370716,-152.404419
Feb-11-2012,1,61.370716,-152.404419
Feb-18-2012,1,61.370716,-152.404419
Feb-04-2012,1,61.370716,-152.404419
Jan-21-2012,1,61.370716,-152.404419
Jan-14-2012,1,61.370716,-152.404419
Jan-07-2012,1,61.370716,-152.404419
Dec-31-2011,1,61.370716,-152.404419
Dec-24-2011,1,61.370716,-152.404419
Dec-10-2011,1,61.370716,-152.404419
Dec-17-2011,1,61.370716,-152.404419
Dec-03-2011,1,61.370716,-152.404419
Nov-26-2011,1,61.370716,-152.404419
Nov-19-2011,1,61.370716,-152.404419
Nov-05-2011,1,61.370716,-152.404419
Nov-12-2011,1,61.370716,-152.404419
Oct-22-2011,1,61.370716,-152.404419
Oct-08-2011,1,61.370716,-152.404419
Oct-29-2011,1,61.370716,-152.404419
Oct-01-2011,1,61.370716,-152.404419
Oct-15-2011,1,61.370716,-152.404419
Sep-10-2011,1,61.370716,-152.404419
Sep-17-2011,1,61.370716,-152.404419
Sep-03-2011,1,61.370716,-152.404419
Aug-27-2011,1,61.370716,-152.404419
Aug-20-2011,1,61.370716,-152.404419
Aug-13-2011,1,61.370716,-152.404419
Aug-06-2011,1,61.370716,-152.404419
Jul-30-2011,1,61.370716,-152.404419
Jul-23-2011,1,61.370716,-152.404419
Jul-16-2011,1,61.370716,-152.404419
Jul-09-2011,1,61.370716,-152.404419
Jul-02-2011,1,61.370716,-152.404419
Jun-25-2011,1,61.370716,-152.404419
Jun-18-2011,1,61.370716,-152.404419
Jun-11-2011,1,61.370716,-152.404419
Jun-04-2011,1,61.370716,-152.404419
May-28-2011,1,61.370716,-152.404419
May-21-2011,1,61.370716,-152.404419
May-14-2011,1,61.370716,-152.404419
May-07-2011,1,61.370716,-152.404419
Apr-30-2011,1,61.370716,-152.404419
Apr-16-2011,1,61.370716,-152.404419
Jan-08-2011,1,61.370716,-152.404419
Jan-01-2011,1,61.370716,-152.404419
Dec-25-2010,1,61.370716,-152.404419
Dec-18-2010,1,61.370716,-152.404419
Dec-11-2010,1,61.370716,-152.404419
Dec-04-2010,1,61.370716,-152.404419
Oct-30-2010,1,61.370716,-152.404419
Nov-20-2010,1,61.370716,-152.404419
Nov-27-2010,1,61.370716,-152.404419
Nov-13-2010,1,61.370716,-152.404419
Oct-23-2010,1,61.370716,-152.404419
Nov-06-2010,1,61.370716,-152.404419
Oct-16-2010,1,61.370716,-152.404419
Oct-09-2010,1,61.370716,-152.404419
Jun-07-2014,2,61.370716,-152.404419
Nov-01-2014,2,61.370716,-152.404419
Jun-20-2015,2,61.370716,-152.404419
Jul-04-2015,2,61.370716,-152.404419
Jul-11-2015,2,61.370716,-152.404419
Apr-16-2016,2,61.370716,-152.404419
Jan-15-2011,2,61.370716,-152.404419
Jan-29-2011,2,61.370716,-152.404419
Apr-23-2011,2,61.370716,-152.404419
Sep-24-2011,2,61.370716,-152.404419
Jan-28-2012,2,61.370716,-152.404419
Mar-17-2012,2,61.370716,-152.404419
May-12-2012,2,61.370716,-152.404419
Nov-03-2012,2,61.370716,-152.404419
Nov-10-2012,2,61.370716,-152.404419
Dec-01-2012,2,61.370716,-152.404419
Dec-08-2012,2,61.370716,-152.404419
Feb-09-2013,2,61.370716,-152.404419
Dec-14-2013,2,61.370716,-152.404419
May-21-2016,3,61.370716,-152.404419
Sep-12-2015,3,61.370716,-152.404419
Jun-27-2015,3,61.370716,-152.404419
Jan-24-2015,3,61.370716,-152.404419
Jan-03-2015,3,61.370716,-152.404419
Dec-27-2014,3,61.370716,-152.404419
Dec-20-2014,3,61.370716,-152.404419
Dec-06-2014,3,61.370716,-152.404419
Nov-29-2014,3,61.370716,-152.404419
Feb-15-2014,3,61.370716,-152.404419
Feb-08-2014,3,61.370716,-152.404419
Nov-24-2012,3,61.370716,-152.404419
May-05-2012,3,61.370716,-152.404419
Apr-28-2012,3,61.370716,-152.404419
Apr-07-2012,3,61.370716,-152.404419
Feb-12-2011,3,61.370716,-152.404419
Jan-22-2011,3,61.370716,-152.404419
Nov-08-2014,4,61.370716,-152.404419
Nov-22-2014,4,61.370716,-152.404419
Mar-12-2016,4,61.370716,-152.404419
